TimeStep	J_x_ref	J_y_ref	J_z_ref	Jconv_x_ref	Jconv_y_ref	Jconv_z_ref	Jcond_x_ref	Jcond_y_ref	Jcond_z_ref
154	119.578	2.44986E-06	2.56558E-06	105.915	2.1594E-06	1.28563E-06	13.6624	2.90466E-07	1.27995E-06
155	118.679	2.55627E-06	2.43673E-06	102.665	2.33923E-06	1.23258E-06	16.0137	2.17041E-07	1.20416E-06
156	117.861	2.66286E-06	2.29576E-06	99.3131	2.52284E-06	1.18341E-06	18.5478	1.40021E-07	1.11235E-06
157	117.106	2.77063E-06	2.14285E-06	95.8634	2.70968E-06	1.13784E-06	21.2428	6.09504E-08	1.00502E-06
158	116.392	2.8806E-06	1.97862E-06	92.3195	2.89914E-06	1.0956E-06	24.0729	-1.85396E-08	8.83013E-07
159	115.694	2.99393E-06	1.80399E-06	88.6856	3.09062E-06	1.05645E-06	27.0086	-9.66893E-08	7.47543E-07
160	114.984	3.11174E-06	1.62027E-06	84.9668	3.28346E-06	1.02015E-06	30.017	-1.71728E-07	6.00122E-07
161	114.232	3.23513E-06	0.000001429	81.1686	3.47699E-06	9.86488E-07	33.0631	-2.41861E-07	4.42516E-07
162	113.407	3.36515E-06	1.23201E-06	77.2972	3.6705E-06	9.55308E-07	36.1097	-3.05356E-07	2.76699E-07
163	112.478	3.50273E-06	1.03126E-06	73.3596	3.86328E-06	9.26475E-07	39.1186	-3.60551E-07	1.04783E-07
164	111.415	3.64864E-06	8.28836E-07	69.3634	4.05458E-06	8.99895E-07	42.0514	-4.05937E-07	-7.10581E-08
165	110.187	3.80346E-06	6.26847E-07	65.3173	4.24365E-06	8.7549E-07	44.8699	-4.40188E-07	-2.48643E-07
166	108.768	3.96753E-06	4.27374E-07	61.2306	4.42973E-06	8.53224E-07	47.5372	-4.622E-07	-4.2585E-07
167	107.132	4.14091E-06	2.32377E-07	57.1137	4.61204E-06	8.33059E-07	50.0183	-4.71126E-07	-6.00682E-07
168	105.259	4.32339E-06	4.36788E-08	52.978	4.78982E-06	8.1498E-07	52.281	-4.66427E-07	-7.71301E-07
169	103.132	4.51445E-06	-1.37129E-07	48.8356	4.96231E-06	7.98956E-07	54.2965	-4.47851E-07	-9.36085E-07
170	100.739	4.71327E-06	-3.08716E-07	44.6996	5.12875E-06	7.84941E-07	56.0399	-4.15483E-07	-1.09366E-06
171	98.0753	4.91871E-06	-4.70021E-07	40.5841	5.28843E-06	7.72866E-07	57.4912	-3.6972E-07	-1.24289E-06
172	95.1391	5.12936E-06	-6.20287E-07	36.5041	5.44063E-06	7.62615E-07	58.6351	-3.11275E-07	-1.3829E-06
173	91.9369	5.3435E-06	-7.5908E-07	32.4751	5.58467E-06	7.54015E-07	59.4618	-2.41168E-07	-1.5131E-06
174	88.4809	5.55923E-06	-8.86255E-07	28.5137	5.71989E-06	7.46843E-07	59.9672	-1.60663E-07	-1.6331E-06
175	84.7894	5.7744E-06	-1.00194E-06	24.6369	5.84567E-06	7.40801E-07	60.1524	-7.12744E-08	-1.74274E-06
176	80.8869	5.98672E-06	-1.10653E-06	20.8624	5.96141E-06	7.35518E-07	60.0244	2.53034E-08	-1.84205E-06
177	76.8034	6.19379E-06	-1.20062E-06	17.2082	6.06655E-06	7.30562E-07	59.5952	1.27241E-07	-1.93119E-06
178	72.5744	6.39316E-06	-1.28499E-06	13.6926	6.16056E-06	7.25425E-07	58.8817	2.32599E-07	-2.01042E-06
179	68.2394	6.58233E-06	-1.36056E-06	10.3341	6.24292E-06	7.19544E-07	57.9053	3.39403E-07	-2.0801E-06
180	63.842	6.75887E-06	-1.42834E-06	7.15109	6.31319E-06	7.12302E-07	56.6909	4.45685E-07	-2.14064E-06
181	59.4283	6.92046E-06	-1.48937E-06	4.16178	6.37092E-06	7.03051E-07	55.2665	5.49531E-07	-2.19242E-06
182	55.0462	7.06485E-06	-1.54473E-06	1.38403	6.41574E-06	6.91127E-07	53.6622	6.49103E-07	-2.23586E-06
183	50.7445	0.00000719	-1.59548E-06	-1.16486	6.4473E-06	6.75858E-07	51.9094	7.427E-07	-2.27133E-06
184	46.5716	7.29408E-06	-1.6426E-06	-3.46836	6.46532E-06	6.56597E-07	50.04	8.28765E-07	-2.29919E-06
185	42.5742	7.37546E-06	-0.000001687	-5.51087	6.46956E-06	6.32742E-07	48.0851	9.05903E-07	-2.31975E-06
186	38.7968	7.43278E-06	-1.72952E-06	-7.2779	6.45987E-06	6.03751E-07	46.0747	9.72919E-07	-2.33327E-06
187	35.2802	7.46495E-06	-1.77085E-06	-8.75632	6.43616E-06	5.69159E-07	44.0365	1.02879E-06	-2.34001E-06
188	32.0609	7.47116E-06	-1.81157E-06	-9.93448	6.39844E-06	5.28613E-07	41.9953	1.07272E-06	-2.34018E-06
189	29.1701	7.4509E-06	-1.85212E-06	-10.8025	6.34681E-06	4.81866E-07	39.9726	1.10408E-06	-2.33398E-06
190	26.6335	7.40393E-06	-1.8928E-06	-11.3522	6.28146E-06	4.28809E-07	37.9857	1.12246E-06	-2.32161E-06
191	24.4704	7.33033E-06	-1.93375E-06	-11.5778	6.20269E-06	3.6947E-07	36.0481	1.12764E-06	-2.30322E-06
192	22.6934	7.23049E-06	-1.97495E-06	-11.4755	6.1109E-06	3.04013E-07	34.1689	1.11959E-06	-2.27896E-06
