Timestep	J_x	J_y	J_z	Jconv_x	Jconv_y	Jconv_z	Jcond_x	Jcond_y	Jcond_z
109	155.391315	2.19008E-05	-3.27589E-05	170.7216686	2.52311E-05	-3.10602E-05	-15.33035364	-3.33032E-06	-1.69869E-06
110	157.7981331	6.9513E-06	-4.43088E-05	171.3736016	6.58153E-06	-4.70103E-05	-13.57546841	3.6977E-07	2.70156E-06
111	159.9673269	6.35279E-05	3.8833E-05	171.8195749	5.97524E-05	4.39021E-05	-11.85224799	3.77545E-06	-5.069E-06
112	161.8875348	-7.77663E-06	-2.2843E-06	172.0702094	-4.36621E-06	-6.33474E-06	-10.18267452	-3.41042E-06	4.05044E-06
113	163.5532562	8.80277E-06	2.64872E-06	172.1396862	7.91386E-06	-1.86349E-06	-8.586430075	8.88916E-07	4.51221E-06
114	164.9576499	-1.34508E-05	5.2051E-06	172.0374837	-1.30729E-05	1.96613E-06	-7.07983382	-3.77838E-07	3.23896E-06
115	166.1010165	3.24865E-06	-2.86557E-07	171.7771928	5.66785E-06	-4.56496E-07	-5.676176309	-2.4192E-06	1.69939E-07
116	166.9839267	-1.57543E-05	-6.23064E-06	171.3688008	-1.14138E-05	-9.10004E-06	-4.384874055	-4.34049E-06	2.8694E-06
117	167.6126271	5.01258E-05	1.29343E-05	170.8251744	4.39344E-05	2.02673E-05	-3.212547309	6.19139E-06	-7.33307E-06
118	167.9951932	1.97172E-05	-5.75059E-05	170.1570169	1.4607E-05	-5.87692E-05	-2.161823667	5.1102E-06	1.26325E-06
119	168.1435791	-6.06218E-06	7.47131E-06	169.3759765	-7.95902E-06	-3.11598E-07	-1.232397401	1.89684E-06	7.78291E-06
120	168.0710556	8.55069E-05	6.53066E-05	168.4926883	9.21019E-05	6.38905E-05	-0.421632736	-6.59501E-06	1.41607E-06
121	167.7937209	6.76623E-05	3.59025E-05	167.5178105	7.1935E-05	3.67555E-05	0.275910428	-4.27265E-06	-8.5299E-07
122	167.3295895	-5.64423E-05	8.68198E-06	166.4629997	-6.00631E-05	1.0809E-05	0.866589791	3.62078E-06	-2.12703E-06
123	166.6949608	-2.46012E-05	6.5153E-05	165.3362793	-2.422E-05	4.25766E-05	1.358681453	-3.81203E-07	2.25764E-05
124	165.9092029	-1.34684E-05	-3.18433E-05	164.1486977	-7.16225E-06	-2.81922E-05	1.760505136	-6.30615E-06	-3.65112E-06
125	164.989104	-1.06441E-05	0.000109116	162.9084309	-2.75618E-06	0.000100411	2.080673119	-7.88792E-06	8.70546E-06
126	163.9503993	1.5718E-05	-3.58419E-05	161.6228304	6.75245E-06	-3.96603E-05	2.32756884	8.9655E-06	3.81834E-06
127	162.8081262	-4.07402E-07	5.99104E-06	160.2998052	7.33934E-06	-1.74457E-06	2.508321021	-7.74674E-06	7.73561E-06
128	161.5740658	3.99443E-05	4.15719E-05	158.9439149	3.2696E-05	4.49488E-05	2.630150893	7.24834E-06	-3.37685E-06
129	160.2585659	-3.97957E-06	6.667E-06	157.5600054	-3.73271E-06	6.54706E-06	2.6985605	-2.46862E-07	1.19937E-07
130	158.8700596	-2.30803E-05	1.74256E-05	156.1514428	-3.09633E-05	2.29493E-05	2.718616806	7.88304E-06	-5.52367E-06
131	157.414798	3.58484E-05	1.49587E-05	154.7198453	3.45737E-05	1.91394E-05	2.694952751	1.27477E-06	-4.18074E-06
132	155.8965883	3.26589E-05	2.67898E-05	153.2649974	3.12219E-05	2.02633E-05	2.631590916	1.43699E-06	6.52647E-06
133	154.3191829	-6.33235E-06	-3.50092E-05	151.7860594	-8.20613E-06	-3.46426E-05	2.533123465	1.87378E-06	-3.66611E-07
134	152.6848748	-3.88458E-05	6.08051E-05	150.2805077	-4.20816E-05	6.83463E-05	2.404367155	3.23584E-06	-7.54122E-06
135	150.9963996	2.23563E-05	2.00179E-05	148.7450497	2.83599E-05	1.61223E-05	2.251349956	-6.00362E-06	3.89559E-06
136	149.2553838	-4.29407E-06	1.47065E-06	147.1737274	-8.18822E-06	-2.82404E-07	2.081656469	3.89415E-06	1.75305E-06
137	147.4660643	3.37088E-05	8.67054E-05	145.5614185	3.74357E-05	8.95507E-05	1.904645806	-3.72695E-06	-2.84528E-06
138	145.6327442	-4.19012E-05	-1.516E-05	143.9011538	-4.38786E-05	-8.29492E-06	1.731590424	1.97747E-06	-6.86504E-06
